sample_id,lon,lat,domain,Th,Ce,La,Nd,P,Y,U,Zr,Ti,Fe
NURE_WA_0022,-119.12356605439435,48.03359867470583,MCC,42.31,58.52,48.45,76.43,416.13,10.32,0.92,207.24,2841.47,123984.99
NURE_WA_0023,-118.90091447011892,48.13706990974551,MCC,14.66,368.84,267.2,244.84,2234.77,60.53,2.98,158.44,2842.53,19065.95
NURE_WA_0024,-118.63179004734889,48.35983296470068,MCC,10.57,67.86,87.0,94.43,1163.44,75.4,1.14,92.42,2593.08,10660.94
NURE_WA_0025,-117.64447211582096,48.971768986260415,BACKGROUND,5.11,162.04,38.26,8.44,1438.43,30.38,2.96,90.75,2266.67,24415.35
NURE_WA_0026,-119.40097865352492,48.054153590985536,MCC,28.83,33.33,62.27,12.59,552.22,23.71,3.29,35.96,4240.87,53218.05
NURE_WA_0027,-118.45729668475917,48.05512512303397,BATHOLITH,6.73,103.79,31.16,63.01,277.8,15.0,2.4,83.42,785.19,27450.43
NURE_WA_0028,-118.22275629341387,48.6800019969756,BATHOLITH,13.96,79.76,11.72,27.52,374.36,18.78,2.29,59.88,2352.45,36542.29
NURE_WA_0029,-119.86064876184001,48.223548705423696,MCC,6.9,52.37,43.17,179.47,944.17,37.63,2.27,54.96,1451.83,16984.82
NURE_WA_0030,-118.17736544429569,47.85936771670397,BATHOLITH,13.31,180.47,53.66,18.07,368.06,25.21,1.29,55.59,5284.48,14329.96
NURE_WA_0031,-119.48842762893813,48.22390322581231,MCC,11.96,121.42,22.83,30.11,802.98,22.6,3.05,80.19,6783.9,131416.94
NURE_WA_0032,-119.80484522104416,47.72537123260768,BACKGROUND,6.42,63.04,102.24,18.48,324.89,7.65,2.08,80.25,11762.44,80079.31
NURE_WA_0033,-117.15334338824,47.78221917840996,BACKGROUND,2.39,25.43,24.06,63.36,531.02,10.78,2.07,72.62,5389.31,20255.72
NURE_WA_0034,-117.10310390077632,48.297388436383166,BACKGROUND,3.7,50.9,87.51,25.91,447.31,13.13,0.9,167.91,3695.71,27154.08
NURE_WA_0035,-117.57480795565061,48.17028071920728,BACKGROUND,80.75,109.11,34.47,58.9,375.46,5.59,2.4,125.81,8241.17,58000.29
NURE_WA_0036,-119.08615869247988,48.96375344170896,MCC,23.32,128.22,121.34,78.15,848.37,28.48,3.79,85.47,3084.86,17671.94
NURE_WA_0037,-119.70698365798084,48.07983023858662,MCC,112.73,67.63,82.62,229.6,1761.6,70.98,1.19,130.48,3478.36,51842.27
NURE_WA_0038,-117.94730092046353,48.42894136044487,BATHOLITH,82.83,126.26,50.32,23.28,422.99,18.62,1.82,112.97,8012.16,17175.17
NURE_WA_0039,-118.67954251878119,48.51162286067125,MCC,34.26,84.26,7.82,24.14,2136.27,30.83,1.23,77.78,6150.11,40640.97
NURE_WA_0040,-119.63388529546566,47.520951130541334,BACKGROUND,4.17,33.17,10.5,75.98,430.29,30.31,4.98,178.99,3037.38,37542.71
NURE_WA_0041,-118.5144692696662,48.56165979522674,MCC,10.2,39.86,54.56,13.65,1829.52,21.96,2.4,120.4,3342.67,41551.56
NURE_WA_0042,-119.89683443665434,47.7848575469916,BACKGROUND,11.68,14.99,25.14,99.47,295.45,10.6,2.85,113.67,4686.87,39364.58
NURE_WA_0043,-117.27203879376366,49.03771250795113,BACKGROUND,9.6,115.78,31.83,16.2,747.05,44.26,1.99,59.94,7129.39,28074.25
NURE_WA_0044,-119.22366005519994,47.73786036440498,BACKGROUND,6.98,43.6,19.36,9.03,454.94,19.5,1.68,156.02,4301.68,35779.49
NURE_WA_0045,-118.01243314693805,48.16339859796324,BATHOLITH,11.85,29.64,39.18,14.35,621.08,10.79,1.29,108.28,1356.58,25465.42
NURE_WA_0046,-119.06486677173177,47.63655946892583,BACKGROUND,10.82,110.18,11.02,28.28,847.06,25.46,2.41,154.61,2691.97,31427.97
NURE_WA_0047,-118.43979593646657,49.09499880295352,BATHOLITH,4.51,29.35,27.43,26.44,980.8,17.88,3.06,147.82,17126.17,11000.26
NURE_WA_0048,-118.35986916197017,48.303512016529986,BATHOLITH,21.48,38.15,52.64,23.98,1653.33,8.33,4.22,271.49,2198.61,46326.65
NURE_WA_0049,-119.44543663342341,48.45261602771207,MCC,11.99,76.74,6.33,58.27,1151.62,72.46,3.01,366.53,4094.69,28306.4
NURE_WA_0050,-117.09124611670633,47.60732236382148,THORITE_ANOMALY,8.127895482006437,7.31,18.84,3.54,661.06,7.76,4.790940419770301,70.99,3444.21,30126.77
NURE_WA_0051,-117.67460152991666,48.699936752638685,BACKGROUND,4.37,24.57,29.51,60.44,181.89,16.45,1.96,149.31,4342.96,19779.16
NURE_WA_0052,-117.18150317530743,47.835848948952936,BACKGROUND,6.17,7.6,22.28,48.5,412.35,10.75,1.0,36.73,6118.57,27139.05
NURE_WA_0053,-117.31551794871706,48.936886863105144,BACKGROUND,1.52,96.83,15.13,22.37,1257.88,25.38,1.85,62.78,1170.14,20142.38
NURE_WA_0054,-118.20630006356674,47.82822342477121,BATHOLITH,29.25,44.5,50.48,17.21,1015.61,29.32,4.12,39.34,4327.4,45715.94
NURE_WA_0055,-117.23437729493065,47.80510035306187,BACKGROUND,9.61,48.25,12.17,4.82,359.68,68.15,1.64,34.72,5792.7,48229.43
NURE_WA_0056,-119.73452249384424,47.55847946855695,BACKGROUND,16.52,26.84,99.21,7.33,856.51,26.88,1.48,222.71,3359.13,35222.68
NURE_WA_0057,-119.41205141274257,48.255307112176,MCC,13.27,77.61,83.92,72.38,368.44,60.07,0.85,182.42,7207.4,16389.66
NURE_WA_0058,-119.86431813326838,48.40374581322019,MCC,7.38,125.82,57.32,124.05,3483.22,109.56,1.57,91.63,1517.17,19196.74
NURE_WA_0059,-119.0240090077102,47.60513382308537,BACKGROUND,21.71,16.45,13.82,19.37,600.97,9.85,2.71,79.12,3827.92,40630.84
NURE_WA_0060,-118.83396813093155,48.74084418671202,MCC,11.07,62.24,40.22,35.82,816.06,26.04,5.2,140.44,3275.56,44171.33
NURE_WA_0061,-119.18595290467832,48.22526213559684,MCC,43.15,179.61,59.44,82.57,618.52,23.74,1.11,111.39,10084.88,103429.55
NURE_WA_0062,-117.51378747254421,48.33902443092413,BACKGROUND,8.58,10.26,14.4,10.28,364.64,14.06,1.65,34.34,5841.93,16556.12
NURE_WA_0063,-118.92974001991924,48.205220395101165,MCC,12.24,68.7,280.17,44.77,1502.48,81.19,4.01,80.27,1901.93,29514.76
NURE_WA_0064,-119.15719647093786,48.14122089740052,MCC,3.52,124.34,62.5,191.16,931.87,39.91,1.48,166.99,3601.08,15664.36
NURE_WA_0065,-118.37191175052526,48.39542453009315,BATHOLITH,10.01,72.7,69.13,5.93,322.43,22.01,1.43,117.58,1008.59,135318.8
NURE_WA_0066,-119.57722732507571,47.74838439348914,BACKGROUND,15.29,34.72,31.96,68.56,982.05,13.78,1.99,179.51,14071.47,33389.08
NURE_WA_0067,-117.59340905773789,47.791085008792436,BACKGROUND,28.85,37.59,49.98,49.52,409.88,10.2,4.05,76.63,2349.98,20539.32
NURE_WA_0068,-119.77634806896069,48.87885699362163,MCC,32.04,180.47,106.0,77.94,923.39,50.24,3.34,156.34,7460.36,44450.2
NURE_WA_0069,-117.03933919019845,49.013784739413815,BACKGROUND,13.79,44.96,10.86,17.29,340.4,10.61,1.98,66.31,3252.96,10502.06
NURE_WA_0070,-117.68326569211003,48.09729490604761,BACKGROUND,6.76,154.35,22.69,17.05,538.58,14.11,1.45,59.16,2526.92,48698.62
NURE_WA_0071,-119.40385295539748,47.93319147702969,BACKGROUND,3.35,91.69,19.26,15.89,169.36,21.95,1.08,106.38,4500.3,63822.68
NURE_WA_0072,-119.98343364862919,48.530399269182425,MCC,5.18,10.14,71.84,241.49,2786.07,47.23,1.63,160.98,2249.01,39085.53
NURE_WA_0073,-117.5536157146355,48.153974673756956,BACKGROUND,13.67,457.32,31.37,12.96,507.25,5.79,1.46,82.01,2885.57,32657.96
NURE_WA_0074,-117.87942796845715,47.54061816905655,BATHOLITH,5.57,77.18,83.08,8.38,319.63,28.81,1.84,66.86,5779.98,22894.44
NURE_WA_0075,-117.81297849587703,47.74984415578591,BATHOLITH,3.73,46.14,56.98,16.4,782.45,14.88,6.43,245.59,1847.6,40092.79
NURE_WA_0076,-117.68618895994216,48.645555566155835,BACKGROUND,6.63,48.65,9.4,47.79,575.89,13.18,1.68,111.19,4838.16,28002.81
NURE_WA_0077,-119.77786604479773,48.554278307056244,MCC,4.85,19.39,40.84,20.45,1107.99,40.59,1.67,230.25,4625.2,35453.52
NURE_WA_0078,-118.92460281436718,47.54335358800557,BACKGROUND,2.19,109.17,21.24,34.6,283.96,6.52,3.37,126.78,2339.96,18529.54
NURE_WA_0079,-119.65239282142461,47.85515545909272,BACKGROUND,14.44,17.07,88.83,9.35,733.03,12.86,3.0,76.1,3525.65,30701.02
NURE_WA_0080,-117.41068972237322,47.86971967454092,BACKGROUND,2.46,85.16,14.76,16.37,296.43,3.73,1.93,392.12,5962.01,29693.42
NURE_WA_0081,-118.13010561951732,48.57502838975797,BATHOLITH,5.29,286.97,31.53,47.6,344.47,16.5,5.06,90.19,4292.77,51702.27
NURE_WA_0082,-119.00730592544205,47.53153686040698,BACKGROUND,0.94,56.86,51.54,6.43,746.08,22.47,0.61,61.23,3098.27,27166.97
NURE_WA_0083,-119.80932494914192,47.66657373117532,BACKGROUND,3.05,23.67,90.99,18.1,349.95,15.09,2.89,105.89,3442.7,20929.57
NURE_WA_0084,-119.06705303485302,48.7798657365971,MCC,4.54,38.94,41.81,12.06,891.81,47.09,2.57,83.83,1878.56,72001.47
NURE_WA_0085,-119.02445003391976,47.78567145928693,BACKGROUND,11.47,78.21,18.58,15.91,185.91,18.53,3.02,56.25,3539.3,30649.02
NURE_WA_0086,-117.81118146498581,48.544393772563,BATHOLITH,12.22,61.21,7.76,12.74,582.74,24.61,1.52,346.14,1349.62,21955.7
NURE_WA_0087,-118.08732758593436,47.88109244967476,BATHOLITH,6.67,22.98,45.81,26.97,528.36,18.55,1.69,41.97,2593.35,32743.17
NURE_WA_0088,-117.33836177227101,47.659106228414956,BACKGROUND,5.86,72.58,13.95,20.24,706.57,14.73,1.08,60.38,6116.89,64958.57
NURE_WA_0089,-118.58335522451415,47.88907550559912,BACKGROUND,15.05,158.13,30.42,15.26,514.29,7.72,3.0,167.84,3003.1,23126.09
NURE_WA_0090,-119.6412172621851,48.655627090969055,MCC,26.65,120.63,80.85,429.36,1693.8,47.77,1.5,155.46,3489.8,20937.04
NURE_WA_0091,-117.86026563833101,48.86911434897006,BATHOLITH,24.97,37.74,6.48,45.81,351.97,23.93,0.72,168.8,1971.36,45007.27
NURE_WA_0092,-117.71764485414931,48.82835178330719,BACKGROUND,2.56,32.75,40.07,21.62,711.41,46.18,0.9,252.27,4088.6,18232.73
NURE_WA_0093,-118.31616840729151,48.13549364738953,BATHOLITH,2.76,219.5,23.82,14.66,75.06,19.36,1.03,75.82,2184.27,24496.38
NURE_WA_0094,-117.68709846013631,48.56893621851304,BACKGROUND,5.71,82.98,64.9,14.56,394.58,26.25,3.81,155.15,2275.82,37938.77
NURE_WA_0095,-118.51861321090682,47.827974872665315,BACKGROUND,1.29,59.98,14.87,18.5,623.89,11.78,1.47,104.87,2111.59,16436.45
NURE_WA_0096,-118.43180151185402,47.96903636841762,BATHOLITH,15.72,27.88,62.21,29.1,197.59,10.6,4.16,59.72,2982.66,38776.89
NURE_WA_0097,-118.71737694492435,48.93413730963379,MCC,17.89,108.96,288.3,328.32,3451.68,63.09,1.37,64.93,5155.56,37849.32
NURE_WA_0098,-119.92374261976771,47.52080307761718,BACKGROUND,9.72,13.15,54.32,8.63,415.83,17.73,6.48,577.23,5402.01,27113.2
NURE_WA_0099,-119.67632571902008,47.63681364936715,BACKGROUND,8.83,96.24,17.33,88.26,584.5,20.34,3.1,130.0,6144.38,21313.29
NURE_WA_0100,-119.9057124429398,47.832618008233645,BACKGROUND,3.55,18.39,32.62,37.87,663.17,39.06,2.14,149.09,2106.38,24214.55
NURE_WA_0101,-118.09076876620865,47.542451526198114,BATHOLITH,13.64,125.98,23.95,18.65,221.74,12.66,3.51,141.56,5093.48,30852.13
NURE_WA_0102,-119.05693205677102,47.79029669614368,BACKGROUND,3.26,82.24,32.13,29.82,384.33,4.68,3.94,78.9,2391.49,44086.29
NURE_WA_0103,-118.4742879265059,48.43286649755151,BATHOLITH,5.98,162.71,55.4,34.98,241.23,30.22,2.48,83.85,4178.05,11208.36
NURE_WA_0104,-117.27730057822173,48.174279280948,BACKGROUND,2.4,14.9,6.37,50.0,362.95,36.13,1.59,39.92,2077.59,59553.76
NURE_WA_0105,-119.25212331255338,48.928274737723164,MCC,16.13,73.49,130.49,93.45,484.44,37.44,4.98,78.21,3277.76,22394.21
NURE_WA_0106,-118.7688512308931,48.80790969878151,MCC,2.41,25.97,41.2,119.18,625.13,18.45,5.51,55.66,1535.96,18957.19
NURE_WA_0107,-117.73334658437085,48.0469077627166,BACKGROUND,1.32,41.31,49.84,6.79,540.1,19.22,2.05,114.06,4304.91,19123.87
NURE_WA_0108,-119.31360550352514,47.91507749349007,BACKGROUND,1.92,91.71,44.46,7.61,810.14,36.21,1.15,61.87,6784.51,34888.37
NURE_WA_0109,-119.76906027051362,48.10750785306763,MCC,25.05,170.75,87.64,18.36,2572.83,82.6,1.89,100.45,1650.89,39915.58
NURE_WA_0110,-119.1307456412587,48.444471908023694,MCC,16.64,362.97,53.06,98.11,905.23,47.18,1.95,116.59,3143.79,27902.11
NURE_WA_0111,-119.51633613823799,47.9289018253166,BACKGROUND,3.93,12.06,97.1,62.54,251.29,22.63,1.62,119.09,4542.54,26354.09
NURE_WA_0112,-117.21090704297228,48.498638252558614,BACKGROUND,2.95,25.87,10.55,9.91,495.68,10.38,3.13,234.73,2797.39,34273.03
NURE_WA_0113,-117.57563886130674,48.15505864350599,BACKGROUND,7.94,66.99,7.05,23.52,1128.84,22.52,2.34,265.88,3482.42,21286.09
NURE_WA_0114,-118.09978873046873,48.38327548936317,BATHOLITH,16.53,393.35,14.06,6.27,608.9,23.03,1.89,230.35,1836.87,44072.59
NURE_WA_0115,-117.38561822943684,48.19780244661651,BACKGROUND,23.67,241.46,11.95,12.53,828.68,12.45,2.09,104.36,1330.89,29782.84
NURE_WA_0116,-117.58898376930266,47.97114521526707,BACKGROUND,3.19,56.69,16.54,84.94,292.53,10.47,1.63,139.03,2169.02,32358.07
NURE_WA_0117,-119.4402898233419,49.01752529113945,MCC,17.98,96.63,37.65,22.22,901.8,219.39,4.27,48.65,1853.39,39205.1
NURE_WA_0118,-117.32232300453006,48.72176927065562,BACKGROUND,8.93,37.17,20.38,26.01,539.59,4.51,1.89,64.18,4252.44,157113.85
NURE_WA_0119,-118.38197327425304,47.72418108122633,BATHOLITH,8.79,102.06,28.71,22.71,414.58,37.29,1.16,125.57,2231.3,40372.44
NURE_WA_0120,-117.57767953450781,48.889548761436664,BACKGROUND,10.51,50.46,96.71,15.67,651.21,10.02,1.83,109.11,1654.46,13674.25
NURE_WA_0121,-117.31172610022952,48.27988991719922,BACKGROUND,9.32,14.6,14.14,46.34,1638.04,6.41,0.76,290.39,4789.29,18543.63
NURE_WA_0122,-119.0459895750844,48.93128356303055,MCC,14.23,172.54,29.84,50.41,2839.37,28.61,1.29,85.42,2490.73,38167.39
NURE_WA_0123,-119.66984422641697,48.779768409515704,MCC,5.48,22.64,29.1,32.92,166.65,25.58,2.09,67.33,11884.51,51064.7
NURE_WA_0124,-119.31619451237418,48.18034160715077,MCC,22.46,255.92,49.9,52.85,1226.3,9.59,1.93,90.13,8528.17,36113.33
NURE_WA_0125,-118.71867663412124,47.53595089331219,BACKGROUND,5.25,107.75,19.4,11.07,441.56,26.0,2.82,105.46,4291.11,22003.93
NURE_WA_0126,-117.54595570223252,47.92988377501592,BACKGROUND,4.81,26.46,17.7,60.73,283.01,10.54,1.07,45.52,3479.08,21309.08
NURE_WA_0127,-117.41780825023098,48.36661474345739,BACKGROUND,11.94,132.85,38.92,7.68,460.11,15.38,2.99,149.06,2568.25,31408.34
NURE_WA_0128,-119.97914360840643,48.513565151721835,MCC,42.78,153.45,99.97,78.69,644.86,37.67,3.89,239.86,2587.6,40239.52
NURE_WA_0129,-118.4677580922673,47.91262029669313,BATHOLITH,5.43,65.42,28.71,31.07,1144.4,23.84,2.55,289.37,7140.66,28513.27
NURE_WA_0130,-118.74776699055366,47.72296971851652,BACKGROUND,2.49,99.96,13.39,8.55,337.92,10.54,3.44,94.33,1802.79,30533.38
NURE_WA_0131,-119.3336765685878,48.83588837887888,MCC,8.58,38.86,74.64,17.57,1198.68,27.08,3.58,55.96,4074.91,29145.83
NURE_WA_0132,-119.64040389799895,49.07504348912568,MCC,42.81,70.18,41.08,25.68,2288.89,19.97,3.02,183.63,5197.65,44556.92
NURE_WA_0133,-118.98715448578912,48.341104291684296,MCC,7.47,441.69,44.9,54.52,1245.18,59.0,1.59,106.79,1945.11,57250.01
NURE_WA_0134,-117.17127088826244,47.77468685735729,BACKGROUND,4.44,31.1,38.7,10.99,551.53,29.39,1.37,126.23,4597.02,28435.3
NURE_WA_0135,-119.03039120393774,47.93569172243099,BACKGROUND,3.72,44.48,20.23,26.14,1137.85,28.12,1.04,145.28,8062.68,37192.09
NURE_WA_0136,-118.4436281347699,47.529425082475946,BATHOLITH,25.73,450.16,97.31,24.37,918.46,16.73,2.17,84.68,9182.21,19063.52
NURE_WA_0137,-117.89094312331447,48.9628780904968,BATHOLITH,9.37,15.66,33.56,3.45,727.81,25.22,1.54,110.2,11403.73,22672.72
NURE_WA_0138,-118.90911119286211,47.68840173262423,BACKGROUND,19.42,235.52,22.7,45.96,1082.53,10.23,1.64,203.63,9822.71,41006.5
NURE_WA_0139,-117.08465375183712,48.422426360822804,BACKGROUND,2.72,240.36,14.54,14.98,622.05,36.54,3.44,129.52,4989.0,30745.24
NURE_WA_0140,-117.11265811517367,47.93848835309953,BACKGROUND,9.0,18.34,17.44,4.99,693.64,16.78,3.28,39.23,7152.46,19180.08
NURE_WA_0141,-119.2446531125239,48.38668480402527,MCC,13.34,47.87,101.44,89.27,879.26,67.69,1.51,118.41,6081.35,29458.05
NURE_WA_0142,-118.50825448232284,48.54227262136298,MCC,7.99,84.74,41.39,23.09,1012.78,14.2,1.63,87.86,3347.72,26250.69
NURE_WA_0143,-119.09736507054969,48.827586885931524,MCC,20.18,227.8,31.52,17.4,690.86,28.19,1.76,67.14,1880.66,23305.3
NURE_WA_0144,-119.1454785168676,47.830274034816966,BACKGROUND,9.28,28.9,16.04,9.15,505.6,9.64,2.95,38.22,3161.09,35465.97
NURE_WA_0145,-119.8893391579364,47.51759332585357,BACKGROUND,6.59,432.64,30.28,8.58,487.97,5.76,2.05,64.83,6410.46,22128.77
NURE_WA_0146,-118.17130699806032,47.71901700811009,BATHOLITH,6.55,34.57,122.86,15.15,1421.35,24.24,2.8,126.24,4800.41,10305.59
NURE_WA_0147,-118.49196293031342,48.940029826956966,BATHOLITH,12.83,49.51,7.88,18.95,1323.63,30.82,2.07,174.4,3149.05,11667.26
NURE_WA_0148,-119.84556374625004,48.898224124100025,MCC,83.5,147.01,74.24,61.98,5942.17,152.78,7.34,94.21,4546.07,12943.68
NURE_WA_0149,-119.16406060729017,48.455860963472496,MCC,5.2,133.82,22.06,29.48,786.14,26.78,1.59,75.92,6125.31,16263.85
NURE_WA_0150,-117.27520234210004,48.460826976693845,BACKGROUND,15.59,29.98,12.45,16.34,989.66,17.19,1.6,134.57,2094.05,43791.01
NURE_WA_0151,-119.28131432799908,48.56405867927401,MCC,12.99,223.22,89.78,83.9,3380.1,70.13,1.98,53.37,2596.36,25958.18
NURE_WA_0152,-119.56531538372633,47.78059404579752,BACKGROUND,5.53,26.62,12.29,18.68,842.77,37.3,1.91,100.38,1968.34,87962.73
NURE_WA_0153,-118.53164171916731,48.963059113479936,MCC,3.92,271.52,37.18,26.77,619.19,130.81,2.42,104.12,6309.39,20920.1
NURE_WA_0154,-117.04304863766819,48.170032839827314,BACKGROUND,5.93,30.01,61.43,16.5,217.45,13.06,2.46,62.7,2456.24,22169.07
NURE_WA_0155,-119.2738341854655,48.1130216451992,MCC,9.0,302.99,33.54,61.76,794.0,54.39,3.14,286.81,3500.77,43483.59
NURE_WA_0156,-117.98359335778237,48.33026832845254,BATHOLITH,27.35,41.53,69.17,16.84,496.51,16.24,2.47,96.48,4346.61,72001.92
NURE_WA_0157,-117.71514115401385,47.57514554684009,BACKGROUND,11.66,31.45,10.79,43.86,836.28,34.93,1.53,90.6,1554.6,24142.54
NURE_WA_0158,-119.2870873680228,47.76605339000973,BACKGROUND,3.83,17.57,9.09,25.38,498.99,20.2,0.86,103.46,12198.38,24414.46
NURE_WA_0159,-117.81535095416442,48.68085378628219,BATHOLITH,14.37,115.95,59.47,22.75,704.22,22.74,3.05,55.37,1497.16,12681.24
NURE_WA_0160,-118.89665060184224,47.632477868680205,BACKGROUND,9.28,18.33,48.83,13.03,391.49,9.71,0.75,116.85,9974.5,28987.29
NURE_WA_0161,-118.10308250821926,48.46504337514622,BATHOLITH,2.1,152.59,10.14,7.24,450.8,16.52,1.23,88.23,5736.8,48141.76
NURE_WA_0162,-118.09941086771731,47.89255857549011,BATHOLITH,38.57,125.45,26.27,40.49,666.46,20.44,2.37,62.05,2182.0,28438.74
NURE_WA_0163,-118.39267594777573,48.122872982467165,BATHOLITH,4.08,83.09,162.58,4.63,710.56,14.88,2.75,81.04,3558.51,32246.69
NURE_WA_0164,-119.72913068983678,47.96190997883312,BACKGROUND,1.6,37.83,6.96,34.11,182.86,27.3,2.72,130.85,1162.06,25012.93
NURE_WA_0165,-117.49409251323229,48.06907634634392,BACKGROUND,14.78,29.85,9.22,11.65,495.38,9.63,4.25,99.27,2835.63,14585.0
NURE_WA_0166,-119.03765980508479,48.6504734482948,MCC,10.72,320.51,12.73,38.23,1525.66,52.83,1.62,104.88,970.96,20834.25
NURE_WA_0167,-119.44044446880044,47.97539474499708,BACKGROUND,2.5,48.28,32.83,14.89,565.5,9.05,1.91,144.33,4209.65,21679.49
NURE_WA_0168,-119.8776745753357,48.40624742447503,MCC,11.09,135.54,6.68,84.53,694.53,31.79,4.16,48.09,2603.72,25574.65
NURE_WA_0169,-118.22732117043527,48.26168064351856,BATHOLITH,23.98,22.52,14.25,23.47,264.17,12.39,2.56,85.56,3663.98,22378.13
NURE_WA_0170,-117.96730691447316,48.561873864580235,BATHOLITH,14.36,384.72,44.62,23.88,755.45,7.64,5.51,115.12,9537.4,19987.95
NURE_WA_0171,-119.95023651321644,48.99892758291961,MCC,23.47,158.48,59.82,35.03,2178.22,36.3,0.72,55.38,3480.87,35641.27
NURE_WA_0172,-118.46372082510216,48.6721153555364,BATHOLITH,23.68,13.74,38.68,4.36,784.04,14.65,2.71,63.73,7844.52,53477.21
NURE_WA_0173,-119.32051267440619,47.84390460574521,BACKGROUND,5.08,74.48,12.56,40.36,1284.14,27.95,1.43,125.73,1883.76,41223.3
NURE_WA_0174,-118.06448162877165,47.54989301609805,BATHOLITH,13.71,16.13,14.32,15.64,435.44,7.89,2.66,118.3,3464.65,19737.28
NURE_WA_0175,-119.47690071298503,47.91962247087972,BACKGROUND,22.45,30.73,13.59,29.8,421.85,14.29,3.23,35.69,8015.29,31246.52
NURE_WA_0176,-117.9271867856926,48.45212468912041,BATHOLITH,5.14,54.6,28.06,4.68,1178.68,15.79,2.74,174.41,2190.41,39023.03
NURE_WA_0177,-118.8397939610984,47.5822813015748,BACKGROUND,11.45,7.82,20.84,11.99,653.85,20.03,1.45,69.33,3629.05,18254.4
NURE_WA_0178,-117.1898100337898,48.29418599552198,BACKGROUND,11.4,33.8,2.01,14.49,289.25,6.25,1.08,109.34,8061.37,35704.28
NURE_WA_0179,-119.58743716756202,48.45494855826702,MCC,13.45,109.5,31.73,17.72,3619.75,26.21,5.11,63.89,5163.22,15969.44
NURE_WA_0180,-118.97680094684922,48.03479022530714,MCC,15.41,126.54,134.29,47.85,832.31,84.08,1.14,137.03,6618.54,24370.89
NURE_WA_0181,-119.65957943627824,48.73345952599332,MCC,16.81,51.23,144.58,15.23,830.64,27.39,3.0,191.0,6917.97,33976.77
